品名,别名,CAS号
对硫氰酸苯胺,对硫氰基苯胺；硫氰酸对氨基苯酯,15191-25-0
"1-(对氯苯基)-2,8,9-三氧-5-氮-1-硅双环(3,3,3)十二烷",毒鼠硅；氯硅宁；硅灭鼠,29025-67-0
对氯苯硫醇,4-氯硫酚；对氯硫酚,106-54-7
对䓝基化过氧氢[72%＜含量≤100%],对䓝基过氧化氢,39811-34-2
"对䓝基化过氧氢[含量≤72%,含A型稀释剂≥28%]",,
对壬基酚,,104-40-5
对硝基苯酚钾,对硝基酚钾,1124-31-8
对硝基苯酚钠,对硝基酚钠,824-78-2
对硝基苯磺酸,,138-42-1
对硝基苯甲酰肼,,636-97-5
对硝基乙苯,,100-12-9
对异丙基苯酚,对异丙基酚,99-89-8
多钒酸铵,聚钒酸铵,12207-63-5
多聚甲醛,聚蚁醛；聚合甲醛,30525-89-4
多聚磷酸,四磷酸,8017-16-1
多硫化铵溶液,,9080-17-5
多氯二苯并对二噁英,PCDDs,
多氯二苯并呋喃,PCDFs,
多氯联苯,PCBs,
多氯三联苯,,61788-33-8
多溴二苯醚混合物,,
苊,萘乙环,83-32-9
蒽醌-1-胂酸,蒽醌-α-胂酸,
蒽油乳膏,,
蒽油乳剂,,
二-(1-羟基环己基)过氧化物[含量≤100%],,2407-94-5
二-(2-苯氧乙基)过氧重碳酸酯[85%＜含量≤100%],,41935-39-1
二-(2-苯氧乙基)过氧重碳酸酯[含量≤85%，含水≥15%],,
二(2-环氧丙基)醚,"二缩水甘油醚；双环氧稀释剂；2,2'-[氧双(亚甲基)双环氧乙烷；二环氧甘油醚",123639
二-(2-甲基苯甲酰)过氧化物[含量≤87%],过氧化二-(2-甲基苯甲酰),3034-79-5
"二-(2-羟基-3,5,6-三氯苯基)甲烷 ","2,2'-亚甲基-双(3,4,6-三氯苯酚)；毒菌酚",70-30-4
"二-(2-新癸酰过氧异丙基)苯[含量≤52%,含A型稀释剂≥48%]",,
二-(2-乙基己基)磷酸酯,2-乙基己基-2'-乙基己基磷酸酯,298-07-7
"二-(3,5,5-三甲基己酰)过氧化物[52%＜含量≤82%,含A型稀释剂≥18%]",,3851-87-4
"二-(3,5,5-三甲基己酰)过氧化物[含量≤38%,含A型稀释剂≥62%]",,
"二-(3,5,5-三甲基己酰)过氧化物[38%＜含量≤52%,含A型稀释剂≥48%]",,
"二-(3,5,5-三甲基己酰)过氧化物[含量≤52%,在水中稳定弥散]",,
"2,2-二-(4,4-二(叔丁基过氧环己基)丙烷[含量≤22%,含B型稀释剂≥78%]",,1705-60-8
"2,2-二-(4,4-二(叔丁基过氧环己基)丙烷[含量≤42%，含惰性固体≥58%]",,
"二-(4-甲基苯甲酰)过氧化物[硅油糊状物,含量≤52%]",,895-85-2
二-(4-叔丁基环己基)过氧重碳酸酯[含量≤100%],过氧化二碳酸-二-(4-叔丁基环己基)酯,15520-11-3
"二-(4-叔丁基环己基)过氧重碳酸酯[含量≤42%,在水中稳定弥散]",,
二(苯磺酰肼)醚,"4,4'-氧代双苯磺酰肼",80-51-3
"1,6-二-(过氧化叔丁基-羰基氧)己烷[含量≤72%,含A型稀释剂≥28%]",,36536-42-2
二(氯甲基)醚,二氯二甲醚；对称二氯二甲醚；氧代二氯甲烷,542-88-1
二(三氯甲基)碳酸酯,三光气,32315-10-9
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[90%＜含量≤100%]",,6731-36-8
"1,1-二-(叔丁基过氧)-3,3,5-三甲基环己烷[57%＜含量≤90%,含A型稀释剂≥10%]",,
