品名,别名,CAS号
铬酸叔丁酯四氯化碳溶液,,1189-85-1
庚二腈,"1,5-二氰基戊烷",646-20-8
庚腈,氰化正己烷,629-08-3
1-庚炔,正庚炔,628-71-7
庚酸,正庚酸,111-14-8
2-庚酮,甲基戊基甲酮,110-43-0
3-庚酮,乙基正丁基甲酮,106-35-4
4-庚酮,乳酮；二丙基甲酮,123-19-3
1-庚烯,正庚烯；正戊基乙烯,592-76-7
2-庚烯,,592-77-8
3-庚烯,,592-78-9
汞,水银,7439-97-6
挂-3-氯桥-6-氰基-2-降冰片酮-O-(甲基氨基甲酰基)肟,肟杀威,15271-41-7
硅粉[非晶形的],,7440-21-3
硅钙,二硅化钙,12013-56-8
硅化钙,,12013-55-7
硅化镁,,22831-39-6；
,,39404-03-0
硅锂,,68848-64-6
硅铝,,57485-31-1
硅铝粉[无涂层的],,
硅锰钙,,12205-44-6
硅酸铅,,10099-76-0；
,,11120-22-2
硅酸四乙酯,四乙氧基硅烷；正硅酸乙酯,28767
硅铁锂,,64082-35-5
硅铁铝[粉末状的],,12003-41-7
癸二酰氯,氯化癸二酰,111-19-3
癸硼烷,十硼烷；十硼氢,17702-41-9
1-癸烯,,872-05-9
过二硫酸铵,高硫酸铵；过硫酸铵,7727-54-0
过二硫酸钾,高硫酸钾；过硫酸钾,7727-21-1
过二碳酸二-(2-乙基己)酯[77%＜含量≤100%],,16111-62-9
"过二碳酸二-(2-乙基己)酯[含量≤52%,在水(冷冻)中稳定弥散]",,
"过二碳酸二-(2-乙基己)酯[含量≤62%,在水中稳定弥散]",,
"过二碳酸二-(2-乙基己)酯[含量≤77%,含B型稀释剂≥23%]",,
"过二碳酸二-(2-乙氧乙)酯[含量≤52%,含B型稀释剂≥48%]",,
"过二碳酸二-(3-甲氧丁)酯[含量≤52%,含B型稀释剂≥48%]",,52238-68-3
过二碳酸钠,,3313-92-6
"过二碳酸异丙仲丁酯、过二碳酸二仲丁酯和过二碳酸二异丙酯的混合物[过二碳酸异丙仲丁酯≤32%,15%≤过二碳酸二仲丁酯≤18%,12%≤过二碳酸二异丙酯≤15%,含A型稀释剂≥38%]",,
"过二碳酸异丙仲丁酯、过二碳酸二仲丁酯和过二碳酸二异丙酯的混合物[过二碳酸异丙仲丁酯≤52%,过二碳酸二仲丁酯≤28%,过二碳酸二异丙酯≤22%]",,
过硫酸钠,过二硫酸钠；高硫酸钠,7775-27-1
过氯酰氟,氟化过氯氧；氟化过氯酰,7616-94-6
过硼酸钠,高硼酸钠,15120-21-5；
,,7632-04-4；
,,11138-47-9
"过新庚酸-1,1-二甲基-3-羟丁酯[含量≤52%,含A型稀释剂≥48%]",,110972-57-1
"过新庚酸枯酯[含量≤77%,含A型稀释剂≥23%]",,104852-44-0
"过新癸酸叔己酯[含量≤71%,含A型稀释剂≥29%]",,26748-41-4
"过氧-3,5,5-三甲基己酸叔丁酯[32%＜含量≤100%]","叔丁基过氧化-3,5,5-三甲基己酸酯",13122-18-4
"过氧-3,5,5-三甲基己酸叔丁酯[含量≤32%,含B型稀释剂≥68%]",,
"过氧-3,5,5-三甲基己酸叔丁酯[含量≤42%,惰性固体含量≥58%]",,
过氧苯甲酸叔丁酯[77%＜含量≤100%],,614-45-9
"过氧苯甲酸叔丁酯[52%＜含量≤77%,含A型稀释剂≥23%]",,
"过氧苯甲酸叔丁酯[含量≤52%,惰性固体含量≥48%]",,
"过氧丁烯酸叔丁酯[含量≤77%,含A型稀释剂≥23%]",过氧化叔丁基丁烯酸酯；过氧化巴豆酸叔丁酯,23474-91-1
过氧化钡,二氧化钡,1304-29-6
过氧化苯甲酸叔戊酯[含量≤100%],叔戊基过氧苯甲酸酯,4511-39-1
"过氧化丙酰[含量≤27%,含B型稀释剂≥73%]",过氧化二丙酰,3248-28-0
"过氧化二-(2,4-二氯苯甲酰)[糊状物,含量≤52%]",,133-14-2
"过氧化二-(2,4-二氯苯甲酰)[含硅油糊状,含量≤52%]",,
"过氧化二-(2,4-二氯苯甲酰)[含量≤77%,含水≥23%]",,
"过氧化-二-(3,5,5-三甲基-1,2-二氧戊环)[糊状物,含量≤52%]",,
"过氧化二(3-甲基苯甲酰)、过氧化(3-甲基苯甲酰)苯甲酰和过氧化二苯甲酰的混合物[过氧化二(3-甲基苯甲酰)≤20%,过氧化(3-甲基苯甲酰)苯甲酰≤18%,过氧化二苯甲酰≤4%，含B型稀释剂≥58%]",,
过氧化二-(4-氯苯甲酰)[含量≤77%],,94-17-7
"过氧化二-(4-氯苯甲酰)[糊状物,含量≤52%]",,
"过氧化二苯甲酰[51%＜含量≤100%,惰性固体含量≤48%]",,94-36-0
"过氧化二苯甲酰[35%＜含量≤52%,惰性固体含量≥48%]",,
"过氧化二苯甲酰[36%＜含量≤42%,含A型稀释剂≥18%,含水≤40%]",,
"过氧化二苯甲酰[77%＜含量≤94%,含水≥6%]",,
"过氧化二苯甲酰[含量≤42%,在水中稳定弥散]",,
"过氧化二苯甲酰[含量≤62%,惰性固体含量≥28%,含水≥10%]",,
"过氧化二苯甲酰[含量≤77%,含水≥23%]",,
"过氧化二苯甲酰[糊状物,52%＜含量≤62%]",,
"过氧化二苯甲酰[糊状物,含量≤52%]",,
"过氧化二苯甲酰[糊状物,含量≤56.5%,含水≥15%]",,
"过氧化二苯甲酰[含量≤35%,含惰性固体≥65%]",,
过氧化二癸酰[含量≤100%],,762-12-9
过氧化二琥珀酸[72%＜含量≤100%],过氧化双丁二酸；过氧化丁二酰,123-23-9
过氧化二琥珀酸[含量≤72%],,
"2,2-过氧化二氢丙烷[含量≤27%,含惰性固体≥73%]",,2614-76-8
"过氧化二碳酸二(十八烷基)酯[含量≤87%,含有十八烷醇]",过氧化二(十八烷基)二碳酸酯；过氧化二碳酸二硬脂酰酯,52326-66-6
"过氧化二碳酸二苯甲酯[含量≤87%,含水]",过氧化苄基二碳酸酯,2144-45-8
"过氧化二碳酸二乙酯[在溶液中,含量≤27%]",过氧化二乙基二碳酸酯,14666-78-5
过氧化二碳酸二异丙酯[52%＜含量≤100%],过氧重碳酸二异丙酯,105-64-6
"过氧化二碳酸二异丙酯[含量≤52%,含B型稀释剂≥48%]",,
"过氧化二碳酸二异丙酯[含量≤32%,含A型稀释剂≥68%]",,
"过氧化二乙酰[含量≤27%,含B型稀释剂≥73%]",,110-22-5
过氧化二异丙苯[52%＜含量≤100%],二枯基过氧化物；硫化剂DCP,80-43-3
"过氧化二异丙苯[含量≤52%,含惰性固体≥48%]",,
"过氧化二异丁酰[含量≤32%,含B型稀释剂≥68%]",,3437-84-1
"过氧化二异丁酰[32%＜含量≤52%,含B型稀释剂≥48%]",,
过氧化二月桂酰[含量≤100%],,105-74-8
"过氧化二月桂酰[含量≤42%,在水中稳定弥散]",,
过氧化二正壬酰[含量≤100%],,
过氧化二正辛酰[含量≤100%],过氧化正辛酰,762-16-3
过氧化钙,二氧化钙,1305-79-9
"过氧化环己酮[含量≤72%,含A型稀释剂≥28%]",,78-18-2
"过氧化环己酮[含量≤91%,含水≥9%]",,
"过氧化环己酮[糊状物,含量≤72%]",,
"过氧化甲基环己酮[含量≤67%,含B型稀释剂≤33%]",,11118-65-3
"过氧化甲基乙基酮[10%＜有效氧含量 ≤10.7%,含A型稀释剂≥48%]",,1338-23-4
"过氧化甲基乙基酮[有效氧含量≤10%,含A型稀释剂≥55%]",,
"过氧化甲基乙基酮[有效氧含量≤8.2%,含A型稀释剂≥60%]",,
"过氧化甲基异丙酮[活性氧含量≤6.7%,含A型稀释剂≥70%]",,182893-11-4
"过氧化甲基异丁基酮[含量≤62%,含A型稀释剂≥19%]",,28056-59-9
过氧化钾,,17014-71-0
过氧化锂,,12031-80-0
过氧化邻苯二甲酸叔丁酯,过氧化叔丁基邻苯二甲酸酯,15042-77-0
过氧化镁,二氧化镁,1335-26-8
过氧化钠,双氧化钠；二氧化钠,1313-60-6
过氧化脲,过氧化氢尿素；过氧化氢脲,124-43-6
过氧化氢苯甲酰,过苯甲酸,93-59-4
过氧化氢对孟烷,过氧化氢孟烷,80-47-7
"过氧化氢二叔丁基异丙基苯[42%＜含量≤100%,惰性固体含量≤57%]",二-(叔丁基过氧)异丙基苯,25155-25-3
"过氧化氢二叔丁基异丙基苯[含量≤42%,惰性固体含量≥58%]",,
过氧化氢溶液[含量＞8%],,7722-84-1
"过氧化氢叔丁基[79%＜含量≤90%,含水≥10%]",过氧化叔丁醇；过氧化氢第三丁基；叔丁基过氧化氢,75-91-2
"过氧化氢叔丁基[含量≤80%,含A型稀释剂≥20%]",,
"过氧化氢叔丁基[含量≤79%,含水＞14%]",,
"过氧化氢叔丁基[含量≤72%,含水≥28%]",,
过氧化氢四氢化萘,,771-29-9
"过氧化氢异丙苯[90%＜含量≤98%,含A型稀释剂≤10%]",,80-15-9
"过氧化氢异丙苯[含量≤90%,含A型稀释剂≥10%]",,
过氧化十八烷酰碳酸叔丁酯,叔丁基过氧化硬脂酰碳酸酯,
过氧化叔丁基异丙基苯[42%＜含量≤100%],"1,1-二甲基乙基-1-甲基-1-苯基乙基过氧化物",3457-61-2
"过氧化叔丁基异丙基苯[含量≤52%,惰性固体含量≥48%]",,
"过氧化双丙酮醇[含量≤57%,含B型稀释剂≥26%,含水≥8%]",,54693-46-8
过氧化锶,二氧化锶,1314-18-7
过氧化碳酸钠水合物,过碳酸钠,15630-89-4
过氧化锌,二氧化锌,1314-22-3
"过氧化新庚酸叔丁酯[含量≤42%,在水中稳定弥散]",,26748-38-9
"过氧化新庚酸叔丁酯[含量≤77%,含A型稀释剂≥23%]",,
"1-(2-过氧化乙基己醇-1,3-二甲基丁基过氧化新戊酸酯[含量≤52%,含A型稀释剂≥45%,含B型稀释剂≥10%]",,228415-62-1
过氧化乙酰苯甲酰[在溶液中含量≤45%],乙酰过氧化苯甲酰,644-31-5
"过氧化乙酰丙酮[糊状物,含量≤32%,含溶剂≥44%,含水≥9%,带有惰性固体≥11%]",,37187-22-7
"过氧化乙酰丙酮[在溶液中,含量≤42%,含水≥8%,含A型稀释剂≥48%,含有效氧≤4.7%]",,
"过氧化异丁基甲基甲酮[在溶液中,含量≤62%,含A型稀释剂≥19%，含甲基异丁基酮]",,37206-20-5
过氧化月桂酸[含量≤100%],,178581
过氧化二异壬酰[含量≤100%],"过氧化二-(3,5,5-三甲基)己酰",3851-87-4
"过氧新癸酸枯酯[含量≤52%,在水中稳定弥散]",过氧化新癸酸异丙基苯酯；过氧化异丙苯基新癸酸酯,26748-47-0
"过氧新癸酸枯酯[含量≤77%,含B型稀释剂≥23%]",,
"过氧新癸酸枯酯[含量≤87%,含A型稀释剂≥13%]",,
"过氧新戊酸枯酯[含量≤77%,含B型稀释剂≥23%]",,23383-59-7
"1,1,3,3-过氧新戊酸四甲叔丁酯[含量≤77%,含A型稀释剂≥23%]",,22288-41-1
"过氧异丙基碳酸叔丁酯[含量≤77%,含A型稀释剂≥23%]",,2372-21-6
过氧重碳酸二环己酯[91%＜含量≤100%],过氧化二碳酸二环己酯,1561-49-5
"过氧重碳酸二环己酯[含量≤42%,在水中稳定弥散]",,
过氧重碳酸二环己酯[含量≤91%],,
过氧重碳酸二仲丁酯[52%＜含量＜100%],过氧化二碳酸二仲丁酯,19910-65-7
"过氧重碳酸二仲丁酯[含量≤52%,含B型稀释剂≥48%]",,
"过乙酸[含量≤16%,含水≥39%,含乙酸≥15%,含过氧化氢≤24%,含有稳定剂]",过醋酸；过氧乙酸；乙酰过氧化氢,79-21-0
"过乙酸[含量≤43%,含水≥5%,含乙酸≥35%,含过氧化氢≤6%,含有稳定剂]",,
"过乙酸叔丁酯[32%＜含量≤52%,含A型稀释剂≥48%]",,107-71-1
"过乙酸叔丁酯[52%＜含量≤77%,含A型稀释剂≥23%]",,
"过乙酸叔丁酯[含量≤32%,含B型稀释剂≥68%]",,
海葱糖甙,红海葱甙,507-60-8
氦[压缩的或液化的],,7440-59-7
"氨肥料[溶液,含游离氨＞35%]",,
核酸汞,,12002-19-6
红磷,赤磷,7723-14-0
芐胺,苯甲胺,100-46-9
花青甙,矢车菊甙,581-64-6
环丙基甲醇,,2516-33-8
环丙烷,,75-19-4
环丁烷,,287-23-0
"1,3,5-环庚三烯",环庚三烯,544-25-2
环庚酮,软木酮,502-42-1
环庚烷,,291-64-5
环庚烯,,628-92-2
环己胺,六氢苯胺；氨基环己烷,108-91-8
环己二胺,"1,2-二氨基环己烷",694-83-7
"1,3-环己二烯","1,2-二氢苯",592-57-4
"1,4-环己二烯","1,4-二氢苯",628-41-1
2-环己基丁烷,仲丁基环己烷,1883929
N-环己基环己胺亚硝酸盐,二环己胺亚硝酸；亚硝酸二环己胺,3129-91-7
环己基硫醇,,1569-69-3
环己基三氯硅烷,,36133
环己基异丁烷,异丁基环己烷,1678-98-4
1-环己基正丁烷,正丁基环己烷,1678-93-9
环己酮,,108-94-1
环己烷,六氢化苯,110-82-7
环己烯,"1,2,3,4-四氢化苯",110-83-8
2-环己烯-1-酮,环己烯酮,930-68-7
环己烯基三氯硅烷,,10137-69-6
环三亚甲基三硝胺[含水≥15%],黑索金；旋风炸药,121-82-4
环三亚甲基三硝胺[减敏的],,
环三亚甲基三硝胺与环四亚甲基四硝胺混合物[含水≥15%或含减敏剂≥10%],黑索金与奥克托金混合物,
环三亚甲基三硝胺与三硝基甲苯和铝粉混合物,黑索金与梯恩梯和铝粉混合炸药；黑索托纳尔,
环三亚甲基三硝胺与三硝基甲苯混合物[干的或含水＜15%],黑索雷特,
环四亚甲基四硝胺[含水≥15%],奥克托今(HMX),2691-41-0
环四亚甲基四硝胺[减敏的],,
环四亚甲基四硝胺与三硝基甲苯混合物[干的或含水＜15%],奥克托金与梯恩梯混合炸药；奥克雷特,
环烷酸钴[粉状的],萘酸钴,61789-51-3
环烷酸锌,萘酸锌,12001-85-3
环戊胺,氨基环戊烷,1003-03-8
环戊醇,羟基环戊烷,96-41-3
"1,3-环戊二烯",环戊间二烯；环戊二烯,542-92-7
环戊酮,,120-92-3
环戊烷,,287-92-3
环戊烯,,142-29-0
"1,3-环辛二烯",,3806-59-5
"1,5-环辛二烯",,111-78-4
"1,3,5,7-环辛四烯",环辛四烯,629-20-9
环辛烷,,292-64-8
环辛烯,,931-87-3
"2,3-环氧-1-丙醛",缩水甘油醛,765-34-4
"1,2-环氧-3-乙氧基丙烷",,773168
"2,3-环氧丙基苯基醚",双环氧丙基苯基醚,122-60-1
"1,2-环氧丙烷",氧化丙烯；甲基环氧乙烷,75-56-9
"1,2-环氧丁烷",氧化丁烯,106-88-7
环氧乙烷,氧化乙烯,75-21-8
环氧乙烷和氧化丙烯混合物[含环氧乙烷≤30%],氧化乙烯和氧化丙烯混合物,
"1,8-环氧对孟烷",桉叶油醇,470-82-6
"4,9-环氧,3-(2-羟基-2-甲基丁酸酯)15-(S)2-甲基丁酸酯),[3β(S),4α,7α,15α®,16β]-瑟文-3,4,7,14,15,16,20-庚醇",杰莫灵,63951-45-1
黄原酸盐,,
磺胺苯汞,磺胺汞,
磺化煤油,,
混胺-02,,
己醇钠,,19779-06-7
"1,6-己二胺","1,6-二氨基己烷；己撑二胺",124-09-4
己二腈,"1,4-二氰基丁烷；氰化四亚甲基",111-69-3
"1,3-己二烯",,592-48-3
"1,4-己二烯",,592-45-0
"1,5-己二烯",,592-42-7
"2,4-己二烯",,592-46-1
己二酰二氯,己二酰氯,111-50-2
己基三氯硅烷,,928-65-4
己腈,戊基氰；氰化正戊烷,628-73-9
己硫醇,巯基己烷,111-31-9
1-己炔,,693-02-7
2-己炔,,764-35-2
3-己炔,,928-49-4
己酸,,142-62-1
2-己酮,甲基丁基甲酮,591-78-6
3-己酮,乙基丙基甲酮,589-38-8
1-己烯,丁基乙烯,592-41-6
2-己烯,,592-43-8
4-己烯-1-炔-3-醇,,10138-60-0
5-己烯-2-酮,烯丙基丙酮,109-49-9
己酰氯,氯化己酰,142-61-0
季戊四醇四硝酸酯[含蜡≥7%],泰安；喷梯尔；P.E.T.N.,28799
季戊四醇四硝酸酯[含水≥25%或含减敏剂≥15%],,
季戊四醇四硝酸酯与三硝基甲苯混合物[干的或含水＜15%],泰安与梯恩梯混合炸药；彭托雷特,
镓,金属镓,7440-55-3
甲苯,甲基苯；苯基甲烷,108-88-3
"甲苯-2,4-二异氰酸酯","2,4-二异氰酸甲苯酯；2,4-TDI",584-84-9
"甲苯-2,6-二异氰酸酯","2,6-二异氰酸甲苯酯；2,6-TDI",33457
甲苯二异氰酸酯,二异氰酸甲苯酯；TDI,26471-62-5
"甲苯-3,4-二硫酚","3,4-二巯基甲苯",496-74-2
2-甲苯硫酚,邻甲苯硫酚；2-巯基甲苯,137-06-4
3-甲苯硫酚,间甲苯硫酚；3-巯基甲苯,108-40-7
4-甲苯硫酚,对甲苯硫酚；4-巯基甲苯,106-45-6
甲醇,木醇；木精,67-56-1
甲醇钾,,865-33-8
甲醇钠,甲氧基钠,124-41-4
甲醇钠甲醇溶液,甲醇钠合甲醇,
2-甲酚,1-羟基-2-甲苯；邻甲酚,95-48-7
3-甲酚,1-羟基-3-甲苯；间甲酚,108-39-4
4-甲酚,1-羟基-4-甲苯；对甲酚,106-44-5
甲酚,甲苯基酸；克利沙酸；甲苯酚异构体混合物,1319-77-3
甲硅烷,硅烷；四氢化硅,7803-62-5
"2-甲基-1,3-丁二烯[稳定的]",异戊间二烯；异戊二烯,78-79-5
"6-甲基-1,4-二氮萘基-2,3-二硫代碳酸酯 ","6-甲基-1,3-二硫杂环戊烯并(4,5-b)喹喔啉-2-二酮；灭螨猛",196869
2-甲基-1-丙醇,异丁醇,78-83-1
2-甲基-1-丙硫醇,异丁硫醇,513-44-0
2-甲基-1-丁醇,活性戊醇；旋性戊醇,137-32-6
3-甲基-1-丁醇,异戊醇,123-51-3
2-甲基-1-丁硫醇,,1878-18-8
3-甲基-1-丁硫醇,异戊硫醇,541-31-1
2-甲基-1-丁烯,,563-46-2
3-甲基-1-丁烯,α-异戊烯；异丙基乙烯,563-45-1
3-(1-甲基-2-四氢吡咯基)吡啶硫酸盐,硫酸化烟碱,65-30-5
4-甲基-1-环己烯,,591-47-9
1-甲基-1-环戊烯,,693-89-0
2-甲基-1-戊醇,,105-30-6
3-甲基-1-戊炔-3-醇,2-乙炔-2-丁醇,77-75-8
2-甲基-1-戊烯,,763-29-1
3-甲基-1-戊烯,,760-20-3
4-甲基-1-戊烯,,691-37-2
2-甲基-2-丙醇,叔丁醇；三甲基甲醇；特丁醇,75-65-0
2-甲基-2-丁醇,叔戊醇,75-85-4
3-甲基-2-丁醇,,598-75-4
2-甲基-2-丁硫醇,叔戊硫醇；特戊硫醇,1679-09-0
3-甲基-2-丁酮,甲基异丙基甲酮,563-80-4
2-甲基-2-丁烯,β-异戊烯,513-35-9
5-甲基-2-己酮,,110-12-3
2-甲基-2-戊醇,,590-36-3
4-甲基-2-戊醇,甲基异丁基甲醇,108-11-2
3-甲基-2-戊酮,甲基仲丁基甲酮,565-61-7
4-甲基-2-戊酮,甲基异丁基酮；异己酮,108-10-1
2-甲基-2-戊烯,,625-27-4
3-甲基-2-戊烯,,922-61-2
4-甲基-2-戊烯,,4461-48-7
3-甲基-2-戊烯-4-炔醇,,105-29-3
1-甲基-3-丙基苯,3-丙基甲苯,1074-43-7
2-甲基-3-丁炔-2-醇,,115-19-5
2-甲基-3-戊醇,,565-67-3
3-甲基-3-戊醇,,77-74-7
2-甲基-3-戊酮,乙基异丙基甲酮,565-69-5
4-甲基-3-戊烯-2-酮,异丙叉丙酮；异亚丙基丙酮,141-79-7
2-甲基-3-乙基戊烷,,609-26-7
"2-甲基-4,6-二硝基酚","4,6-二硝基邻甲苯酚；二硝酚",534-52-1
1-甲基-4-丙基苯,4-丙基甲苯,1074-55-1
2-甲基-5-乙基吡啶,,104-90-5
3-甲基-6-甲氧基苯胺,邻氨基对甲苯甲醚,120-71-8
S-甲基-N-[(甲基氨基甲酰基)-氧基]硫代乙酰胺酸酯,灭多威；O-甲基氨基甲酰酯-2-甲硫基乙醛肟,16752-77-5
O-甲基-O-(2-异丙氧基甲酰基苯基)硫代磷酰胺,水胺硫磷,24353-61-5
"O-甲基-O-(4-溴-2,5-二氯苯基)苯基硫代磷酸酯 ",溴苯膦,21609-90-5
O-甲基-O-[(2-异丙氧基甲酰)苯基]-N-异丙基硫代磷酰胺,甲基异柳磷,99675-03-3
O-甲基-S-甲基-硫代磷酰胺,甲胺磷,10265-92-6
O-(甲基氨基甲酰基)-1-二甲氨基甲酰-1-甲硫基甲醛肟,杀线威,23135-22-0
O-甲基氨基甲酰基-2-甲基-2-(甲硫基)丙醛肟,涕灭威,116-06-3
"O-甲基氨基甲酰基-3,3-二甲基-1-(甲硫基)丁醛肟","O-甲基氨基甲酰基-3,3-二甲基-1-(甲硫基)丁醛肟；久效威",39196-18-4
2-甲基苯胺,邻甲苯胺；2-氨基甲苯；邻氨基甲苯,95-53-4
3-甲基苯胺,间甲苯胺；3-氨基甲苯；间氨基甲苯,108-44-1
4-甲基苯胺,对甲基苯胺；4-氨甲苯；对氨基甲苯,106-49-0
N-甲基苯胺,,100-61-8
甲基苯基二氯硅烷,,149-74-6
α-甲基苯基甲醇,苯基甲基甲醇；α-甲基苄醇,98-85-1
2-甲基苯甲腈,邻甲苯基氰；邻甲基苯甲腈,529-19-1
3-甲基苯甲腈,间甲苯基氰；间甲基苯甲腈,620-22-4
4-甲基苯甲腈,对甲苯基氰；对甲基苯甲腈,104-85-8
4-甲基苯乙烯[稳定的],对甲基苯乙烯,622-97-9
2-甲基吡啶,α-皮考林,109-06-8
3-甲基吡啶,β-皮考林,108-99-6
4-甲基吡啶,γ-皮考林,108-89-4
3-甲基吡唑-5-二乙基磷酸酯,吡唑磷,108-34-9
(S)-3-(1-甲基吡咯烷-2-基)吡啶,烟碱；尼古丁；1-甲基-2-(3-吡啶基)吡咯烷,20033
甲基苄基溴,甲基溴化苄；α-溴代二甲苯,89-92-9
甲基苄基亚硝胺,N-甲基-N-亚磷基苯甲胺,937-40-6
甲基丙基醚,甲丙醚,557-17-5
2-甲基丙烯腈[稳定的],异丁烯腈,126-98-7
α-甲基丙烯醛,异丁烯醛,78-85-3
甲基丙烯酸[稳定的],异丁烯酸,79-41-4
甲基丙烯酸-2-二甲氨乙酯,二甲氨基乙基异丁烯酸酯,2867-47-2
甲基丙烯酸甲酯[稳定的],牙托水；有机玻璃单体；异丁烯酸甲酯,80-62-6
甲基丙烯酸三硝基乙酯,,
甲基丙烯酸烯丙酯,2-甲基-2-丙烯酸-2-丙烯基酯,35194
甲基丙烯酸乙酯[稳定的],异丁烯酸乙酯,97-63-2
甲基丙烯酸异丁酯[稳定的],,97-86-9
甲基丙烯酸正丁酯[稳定的],,97-88-1
甲基狄戈辛,,30685-43-9
3-(1-甲基丁基)苯基-N-甲基氨基甲酸酯 和 3-(1-乙基丙基)苯基-N-甲基氨基甲酸酯 ,合杀威,8065-36-9
3-甲基丁醛,异戊醛,590-86-3
2-甲基丁烷,异戊烷,78-78-4
甲基二氯硅烷,二氯甲基硅烷,75-54-7
2-甲基呋喃,,534-22-5
2-甲基庚烷,,592-27-8
3-甲基庚烷,,589-81-1
4-甲基庚烷,,589-53-7
甲基环己醇,六氢甲酚,25639-42-3
甲基环己酮,,1331-22-2
甲基环己烷,六氢化甲苯；环己基甲烷,108-87-2
甲基环戊二烯,,26519-91-5
甲基环戊烷,,96-37-7
甲基磺酸,,75-75-2
甲基磺酰氯,氯化硫酰甲烷；甲烷磺酰氯,124-63-0
3-甲基己烷,,589-34-4
甲基肼,一甲肼；甲基联氨,60-34-4
2-甲基喹啉,,91-63-4
4-甲基喹啉,,491-35-0
6-甲基喹啉,,91-62-3
7-甲基喹啉,,612-60-2
8-甲基喹啉,,611-32-5
甲基氯硅烷,氯甲基硅烷,993-00-0
N-甲基吗啉,,109-02-4
1-甲基萘,α-甲基萘,90-12-0
2-甲基萘,β-甲基萘,91-57-6
2-甲基哌啶,2-甲基六氢吡啶,109-05-7
3-甲基哌啶,3-甲基六氢吡啶,626-56-2
4-甲基哌啶,4-甲基六氢吡啶,626-58-4
N-甲基哌啶,N-甲基六氢吡啶；1-甲基哌啶,626-67-5
N-甲基全氟辛基磺酰胺,,31506-32-8
3-甲基噻吩,甲基硫茂,616-44-4
甲基三氯硅烷,三氯甲基硅烷,75-79-6
甲基三乙氧基硅烷,三乙氧基甲基硅烷,2031-67-6
甲基胂酸锌,稻脚青,20324-26-9
甲基叔丁基甲酮,"3,3-二甲基-2-丁酮；1,1,1-三甲基丙酮；甲基特丁基酮",75-97-8
甲基叔丁基醚,2-甲氧基-2-甲基丙烷；MTBE,1634-04-4
2-甲基四氢呋喃,四氢-2-甲基呋喃,96-47-9
1-甲基戊醇,仲己醇；2-己醇,626-93-7
甲基戊二烯,,54363-49-4
4-甲基戊腈,异戊基氰；氰化异戊烷；异己腈,542-54-1
2-甲基戊醛,α-甲基戊醛,123-15-9
2-甲基戊烷,异己烷,107-83-5
3-甲基戊烷,,96-14-0
2-甲基烯丙醇,异丁烯醇,513-42-8
甲基溴化镁[浸在乙醚中],,75-16-1
甲基乙烯醚[稳定的],乙烯基甲醚,107-25-5
2-甲基己烷,,591-76-4
甲基异丙基苯,伞花烃,99-87-6
甲基异丙烯甲酮[稳定的],,814-78-8
1-甲基异喹啉,,1721-93-3
3-甲基异喹啉,,1125-80-0
4-甲基异喹啉,,1196-39-0
5-甲基异喹啉,,62882-01-3
6-甲基异喹啉,,42398-73-2
7-甲基异喹啉,,54004-38-5
8-甲基异喹啉,,62882-00-2
N-甲基正丁胺,N-甲基丁胺,110-68-9
甲基正丁基醚,1-甲氧基丁烷；甲丁醚,628-28-4
甲硫醇,巯基甲烷,74-93-1
甲硫醚,二甲硫；二甲基硫醚,75-18-3
甲醛溶液,福尔马林溶液,50-00-0
甲胂酸,甲基胂酸；甲次砷酸,56960-31-7
甲酸,蚁酸,64-18-6
甲酸环己酯,,4351-54-6
甲酸甲酯,,107-31-3
甲酸烯丙酯,,1838-59-1
甲酸亚铊,甲酸铊；蚁酸铊,992-98-3
甲酸乙酯,,109-94-4
甲酸异丙酯,,625-55-8
甲酸异丁酯,,542-55-2
甲酸异戊酯,,110-45-2
甲酸正丙酯,,110-74-7
甲酸正丁酯,,592-84-7
甲酸正己酯,,629-33-4
甲酸正戊酯,,638-49-3
甲烷,,74-82-8
甲烷磺酰氟,甲磺氟酰；甲基磺酰氟,558-25-8
"N-甲酰-2-硝甲基-1,3-全氢化噻嗪",,
4-甲氧基-4-甲基-2-戊酮,,107-70-0
2-甲氧基苯胺,邻甲氧基苯胺；邻氨基苯甲醚；邻茴香胺,90-04-0
3-甲氧基苯胺,间甲氧基苯胺；间氨基苯甲醚；间茴香胺,536-90-3
4-甲氧基苯胺,对氨基苯甲醚；对甲氧基苯胺；对茴香胺,104-94-9
甲氧基苯甲酰氯,茴香酰氯,100-07-2
4-甲氧基二苯胺-4'-氯化重氮苯,凡拉明蓝盐B；安安蓝B色盐,101-69-9
3-甲氧基乙酸丁酯,3-甲氧基丁基乙酸酯,4435-53-4
甲氧基乙酸甲酯,,6290-49-9
2-甲氧基乙酸乙酯,乙酸甲基溶纤剂；乙二醇甲醚乙酸酯；乙酸乙二醇甲醚,110-49-6
甲氧基异氰酸甲酯,甲氧基甲基异氰酸酯,6427-21-0
甲乙醚,乙甲醚；甲氧基乙烷,540-67-0
甲藻毒素(二盐酸盐),石房蛤毒素(盐酸盐),35523-89-8
钾,金属钾,2023695
钾汞齐,,37340-23-1
钾合金,,
钾钠合金,钠钾合金,11135-81-2
间苯二甲酰氯,二氯化间苯二甲酰,99-63-8
间苯三酚,"1,3,5-三羟基苯；均苯三酚",108-73-6
间硝基苯磺酸,,98-47-5
